Brand,Stars,Rating,Reviews,total_ratings_reviews,classification
Apple,4.6,5689393,276380,5965773,High popularity and highly rated
OnePlus,4.41081081081081,735155,44139,779294,High popularity and moderate ratings
Nothing,4.4,290150,29980,320130,Medium popularity and moderate ratings
vivo,4.395604395604396,4530263,264831,4795094,High popularity and moderate ratings
CMF,4.3500000000000005,31236,2646,33882,Lower popularity and moderate ratings
Xiaomi,4.35,3028,444,3472,Lower popularity and moderate ratings
OPPO,4.340277777777778,142851,11624,154475,Medium popularity and moderate ratings
IQOO,4.34,31938,1814,33752,Lower popularity and moderate ratings
Samsung,4.3,289130,27638,316768,Medium popularity and moderate ratings
realme,4.291935483870968,1249254,75733,1324987,High popularity and moderate ratings
SAMSUNG,4.291,1581095,110861,1691956,High popularity and moderate ratings
Motorola,4.2827586206896555,2186208,183959,2370167,High popularity and moderate ratings
Infinix,4.219607843137255,1427158,97283,1524441,High popularity and moderate ratings
POCO,4.214516129032258,1415350,94119,1509469,High popularity and moderate ratings
Tecno,4.2,12422,638,13060,Lower popularity and moderate ratings
Honor,4.2,951,86,1037,Lower popularity and moderate ratings
REDMI,4.195192307692308,1484704,87997,1572701,High popularity and moderate ratings
MOTOROLA,4.183333333333334,41696,2818,44514,Medium popularity and moderate ratings
Google,4.18,161944,18180,180124,Medium popularity and moderate ratings
LAVA,4.1625,91395,7714,99109,Medium popularity and moderate ratings
Kechaoda,4.021052631578947,300190,21441,321631,Medium popularity and moderate ratings
itel,4.014583333333333,63736,4431,68167,Medium popularity and moderate ratings
BlackZone,4.0,25632,1569,27201,Lower popularity and moderate ratings
Micromax,3.9749999999999996,53629,8466,62095,Medium popularity and low ratings
Nokia,3.933333333333333,880182,57800,937982,High popularity but low ratings
I,3.8333333333333335,586,38,624,Low popularity and low ratings
Jio,3.75,2558,136,2694,Low popularity and low ratings
KARBONN,3.6999999999999997,8310,591,8901,Low popularity and low ratings
Vox,3.6,258,12,270,Low popularity and low ratings
