RAM (GB),Storage (GB),Product Count,Average Actual Price,Average Discount Price,Total Ratings,Total Reviews
0,0,109,1727.1284403669724,1407.3211009174313,1334641,91859
0,3,1,1549.0,1279.0,1076,72
0,4,1,3499.0,3490.0,1012,55
0,5,2,1699.0,1429.0,24,0
0,16,2,1499.0,999.0,968,34
0,32,6,1249.0,924.3333333333334,36078,2502
0,64,1,49900.0,38999.0,210470,13889
0,128,27,73870.37037037036,61443.444444444445,4247175,196276
0,256,7,80357.14285714286,68141.85714285714,956096,50877
0,512,4,109600.0,88874.0,275652,15338
2,32,4,7399.0,5811.5,9495,341
2,64,2,9499.0,5999.0,11777,917
3,32,3,13165.666666666666,9179.666666666666,3166,152
3,64,10,8849.0,7011.7,145199,9834
4,64,63,10919.650793650793,8072.126984126984,1153057,64921
4,128,100,14043.23,10834.5,2458701,137589
4,256,2,10999.0,7299.0,232,6
6,64,2,12999.0,10999.0,257486,11656
6,128,114,17388.745614035088,13341.464912280702,4678614,276915
8,128,203,25831.423645320196,22415.581280788178,4329855,329899
8,256,177,27948.214689265536,25421.32768361582,1779944,150363
8,512,1,0.0,89999.0,1055,135
12,128,1,84999.0,45999.0,5771,778
12,256,92,36368.489130434784,40454.836956521736,695460,65173
12,512,32,44374.03125,43371.90625,87850,10305
16,256,5,36399.2,41071.2,43299,2897
16,512,7,94141.85714285714,79936.0,4103,491
32,32,2,1899.0,1348.0,1210,48
46875,125,2,5899.0,5049.0,936,46
