classification,Actual price,Discount price
High popularity and highly rated,54355.415384615386,49567.74615384615
High popularity and moderate ratings,20453.01886792453,16590.64441219158
High popularity but low ratings,4011.7297297297296,3236.3513513513512
Low popularity and low ratings,15984.714285714286,14382.0
Lower popularity and moderate ratings,11337.692307692309,47889.46153846154
Lower popularity but highly rated,28152.533333333333,44709.46666666667
Medium popularity and highly rated,21332.777777777777,44776.77777777778
Medium popularity and low ratings,1619.0,1163.0
Medium popularity and moderate ratings,16380.363636363636,16332.987012987012
