Brand,Display Size (inch),Product Count
Apple,6.1,28
Apple,6.7,11
BlackZone,1.77,3
CMF,6.67,6
Google,6.1,7
Google,6.2,4
Google,6.3,3
Google,6.7,1
Honor,6.7,1
Honor,6.78,1
I,2.4,2
I,2.8,1
IQOO,6.56,4
IQOO,6.67,2
IQOO,6.72,7
IQOO,6.78,7
Infinix,6.6,30
Infinix,6.78,21
Jio,1.77,1
Jio,2.4,1
KARBONN,1.8,7
KARBONN,2.4,2
Kechaoda,0.66,10
Kechaoda,1.4,2
Kechaoda,1.44,3
Kechaoda,2.4,4
LAVA,1.77,9
LAVA,1.8,9
LAVA,2.4,3
LAVA,2.8,2
LAVA,6.5,4
LAVA,6.56,3
LAVA,6.78,2
MOTOROLA,1.8,3
MOTOROLA,6.6,3
Micromax,1.77,2
Micromax,2.4,1
Micromax,6.67,1
Motorola,1.8,2
Motorola,2.4,1
Motorola,6.5,20
Motorola,6.55,10
Motorola,6.6,3
Motorola,6.67,6
Motorola,6.7,14
Motorola,6.78,2
Nokia,1.4,1
Nokia,1.77,13
Nokia,2.4,8
Nokia,2.8,2
Nokia,6.5,1
Nokia,6.517,3
Nokia,6.7,2
Nothing,6.7,10
OPPO,6.43,3
OPPO,6.56,14
OPPO,6.67,35
OPPO,6.7,18
OPPO,6.72,1
OPPO,6.74,1
OnePlus,6.56,3
OnePlus,6.59,1
OnePlus,6.67,4
OnePlus,6.7,11
OnePlus,6.72,4
OnePlus,6.74,3
OnePlus,6.78,4
OnePlus,6.82,5
OnePlus,7.82,2
POCO,6.67,31
POCO,6.71,6
POCO,6.74,21
POCO,6.79,4
REDMI,6.52,3
REDMI,6.67,43
REDMI,6.71,12
REDMI,6.74,27
REDMI,6.79,19
SAMSUNG,6.1,7
SAMSUNG,6.2,3
SAMSUNG,6.4,8
SAMSUNG,6.5,27
SAMSUNG,6.6,42
SAMSUNG,6.7,4
SAMSUNG,6.74,2
SAMSUNG,6.8,4
SAMSUNG,7.6,3
Samsung,6.4,2
Tecno,6.56,5
Tecno,6.6,5
Tecno,6.67,2
Tecno,6.68,1
Tecno,6.78,10
Vox,2.4,2
Xiaomi,6.36,2
Xiaomi,6.55,6
itel,1.32,2
itel,1.8,5
itel,2.0,8
itel,2.4,8
itel,2.8,6
itel,5.0,1
itel,6.0,1
itel,6.56,11
itel,6.6,6
realme,6.5,2
realme,6.67,32
realme,6.7,34
realme,6.72,21
realme,6.74,14
realme,6.745,7
realme,6.78,14
vivo,6.38,3
vivo,6.51,2
vivo,6.56,11
vivo,6.58,16
vivo,6.64,3
vivo,6.67,9
vivo,6.72,8
vivo,6.78,39
